Kobe Bryant
Mar 31 	@  CHA 	L 84 - 94 	36 	11 - 28 	2 - 5 	1 - 3 	0 	2 	2 	2 	3 	0 	1 	3 	25
Mar 29 	@ ATL 	L 76 - 86 	37 	7 - 19 	1 - 6 	2 - 4 	2 	6 	8 	4 	1 	0 	4 	3 	17
Mar 27 	@ NJN 	W 103 - 95 	41 	5 - 19 	3 - 6 	1 - 1 	1 	0 	1 	9 	3 	1 	3 	3 	14
Mar 26 	@ DET 	W 92 - 77 	38 	10 - 18 	1 - 3 	9 - 10 	2 	6 	8 	7 	2 	0 	1 	3 	30
Mar 24 	@ OKC 	W 107 - 89 	29 	6 - 18 	1 - 4 	6 - 6 	0 	3 	3 	5 	4 	2 	0 	3 	19
Mar 21 	@ CHI 	W 117 - 109 	37 	10 - 25 	2 - 6 	6 - 10 	1 	2 	3 	7 	5 	1 	3 	2 	28
Mar 19 	vs. GSW 	W 114 - 106 	39 	9 - 25 	2 - 6 	1 - 1 	3 	3 	6 	2 	2 	0 	5 	1 	21
Mar 17 	vs. PHI 	L 93 - 94 	33 	5 - 15 	1 - 4 	0 - 0 	0 	5 	5 	5 	2 	0 	5 	4 	11
Mar 15 	vs. DAL 	W 107 - 100 	41 	11 - 20 	3 - 6 	3 - 3 	0 	8 	8 	5 	1 	1 	1 	4 	28
Mar 12 	@ SAS 	W 102 - 95 	38 	9 - 21 	1 - 2 	4 - 4 	0 	4 	4 	6 	0 	1 	2 	3 	23
Mar 11 	@ HOU 	W 102 - 96 	40 	14 - 23 	2 - 3 	7 - 10 	1 	4 	5 	6 	4 	2 	4 	2 	37
Mar 09 	@ POR 	L 94 - 111 	39 	11 - 29 	2 - 9 	2 - 2 	0 	3 	3 	3 	1 	1 	1 	5 	26
Mar 06 	vs. MIN 	W 110 - 90 	28 	8 - 17 	2 - 6 	5 - 5 	0 	2 	2 	4 	1 	0 	1 	1 	23
Mar 03 	vs. MEM 	W 99 - 89 	30 	12 - 23 	1 - 5 	6 - 6 	0 	2 	2 	2 	1 	0 	0 	3 	31
Mar 01 	@ PHX 	L 111 - 118 	39 	18 - 38 	3 - 9 	10 - 10 	4 	7 	11 	2 	1 	1 	1 	5 	49
Pau Gasol
Mar 31 	@  CHA 	L 84 - 94 	45 	8 - 17 	0 - 0 	0 - 0 	5 	6 	11 	7 	1 	2 	1 	1 	16
Mar 29 	@ ATL 	L 76 - 86 	40 	7 - 10 	0 - 0 	7 - 10 	4 	7 	11 	0 	0 	2 	0 	2 	21
Mar 27 	@ NJN 	W 103 - 95 	45 	14 - 19 	0 - 0 	8 - 10 	3 	8 	11 	7 	2 	2 	3 	4 	36
Mar 26 	@ DET 	W 92 - 77 	41 	5 - 10 	0 - 0 	2 - 2 	0 	11 	11 	3 	0 	0 	5 	2 	12
Mar 24 	@ OKC 	W 107 - 89 	34 	7 - 13 	0 - 0 	0 - 1 	3 	11 	14 	7 	0 	0 	5 	1 	14
Mar 21 	@ CHI 	W 117 - 109 	37 	9 - 17 	0 - 0 	5 - 8 	5 	5 	10 	3 	0 	0 	2 	5 	23
Mar 19 	vs. GSW 	W 114 - 106 	36 	9 - 15 	0 - 0 	3 - 6 	5 	9 	14 	1 	1 	1 	3 	2 	21
Mar 17 	vs. PHI 	L 93 - 94 	44 	9 - 12 	0 - 0 	7 - 9 	3 	5 	8 	6 	1 	3 	3 	2 	25
Mar 15 	vs. DAL 	W 107 - 100 	41 	12 - 13 	0 - 0 	1 - 3 	4 	4 	8 	2 	1 	3 	3 	4 	25
Mar 12 	@ SAS 	W 102 - 95 	41 	10 - 15 	0 - 0 	3 - 3 	2 	9 	11 	3 	1 	2 	3 	2 	23
Mar 11 	@ HOU 	W 102 - 96 	43 	9 - 18 	0 - 0 	2 - 2 	4 	1 	5 	2 	4 	1 	2 	2 	20
Mar 09 	@ POR 	L 94 - 111 	32 	7 - 12 	0 - 0 	4 - 4 	4 	9 	13 	1 	1 	1 	1 	0 	18
Mar 06 	vs. MIN 	W 110 - 90 	31 	8 - 12 	0 - 0 	5 - 5 	1 	8 	9 	3 	1 	2 	0 	0 	21
Mar 03 	vs. MEM 	W 99 - 89 	29 	5 - 13 	0 - 0 	3 - 6 	5 	3 	8 	4 	2 	2 	3 	2 	13
Mar 01 	@ PHX 	L 111 - 118 	41 	12 - 18 	0 - 0 	6 - 6 	2 	5 	7 	1 	0 	0 	3 	5 	30
Lamar Odom
Mar 31 	@  CHA 	L 84 - 94 	37 	9 - 17 	2 - 4 	0 - 0 	5 	4 	9 	3 	0 	1 	2 	6 	20
Mar 29 	@ ATL 	L 76 - 86 	34 	3 - 14 	0 - 3 	3 - 4 	4 	5 	9 	4 	3 	2 	3 	1 	9
Mar 27 	@ NJN 	W 103 - 95 	36 	5 - 9 	0 - 1 	2 - 4 	4 	7 	11 	4 	0 	2 	2 	1 	12
Mar 26 	@ DET 	W 92 - 77 	40 	5 - 10 	1 - 1 	1 - 2 	1 	9 	10 	7 	3 	1 	2 	3 	12
Mar 24 	@ OKC 	W 107 - 89 	24 	7 - 10 	2 - 2 	2 - 2 	3 	3 	6 	0 	0 	0 	1 	6 	18
Mar 21 	@ CHI 	W 117 - 109 	39 	6 - 11 	2 - 3 	2 - 5 	1 	4 	5 	2 	3 	1 	1 	4 	16
Mar 19 	vs. GSW 	W 114 - 106 	29 	5 - 9 	0 - 1 	6 - 6 	1 	11 	12 	4 	1 	3 	2 	4 	16
Mar 17 	vs. PHI 	L 93 - 94 	37 	6 - 11 	0 - 1 	2 - 3 	5 	6 	11 	5 	0 	1 	1 	3 	14
Mar 15 	vs. DAL 	W 107 - 100 	34 	4 - 12 	0 - 1 	2 - 2 	6 	8 	14 	3 	0 	4 	3 	2 	10
