LA Lakers
3  	  Trevor Ariza  	 F  	 6-8  	 210  	 06/30/1985  	   UCLA  	 4
12 	Shannon Brown 	G 	6-4 	211 	11/29/1985 	  Michigan State 	2
24 	Kobe Bryant 	G 	6-6 	205 	08/23/1978 	  Lower Merion HS (PA) 	12
17 	Andrew Bynum 	C 	7-0 	285 	10/27/1987 	  St. Joseph HS (NJ) 	3
5 	Jordan Farmar 	G 	6-2 	180 	11/30/1986 	  UCLA 	2
2 	Derek Fisher 	G 	6-1 	210 	08/09/1974 	  Arkansas-Little Rock 	12
16 	Pau Gasol 	F-C 	7-0 	250 	07/06/1980 	  Spain 	7
28 	Didier Ilunga-Mbenga 	C 	7-0 	255 	12/30/1980 	  Congo 	4
6 	Adam Morrison 	F 	6-8 	205 	07/19/1984 	  Gonzaga 	1
7 	Lamar Odom 	F 	6-10 	230 	11/06/1979 	  Rhode Island 	9
21 	Josh Powell 	F-C 	6-9 	240 	01/25/1983 	  North Carolina State 	3
18 	Sasha Vujacic 	G 	6-7 	205 	03/08/1984 	  Slovenia 	4
4 	Luke Walton 	F 	6-8 	235 	03/28/1980 	  Arizona 	5
9 	Sun Yue 	G 	6-9 	205 	11/06/1985 	  China 	R
Boston Celtics
20  	  Ray Allen  	 G  	 6-5  	 205  	 07/20/1975  	    	 12
42 	Tony Allen 	G 	6-4 	213 	01/11/1982 	  	4
11 	Glen Davis 	F 	6-9 	289 	01/01/1986 	   	1
5 	Kevin Garnett 	F 	6-11 	253 	05/19/1976 	   	13
4 	J.R. Giddens 	G 	6-5 	215 	02/13/1985 	   	R
50 	Eddie House 	G 	6-1 	175 	05/14/1978 	   	8
7 	Mikki Moore 	F-C 	7-0 	225 	11/04/1975 	   	10
43 	Kendrick Perkins 	C 	6-10 	280 	11/10/1984 	   	5
34 	Paul Pierce  	F 	6-7 	235 	10/13/1977 	   	10
0 	Leon Powe 	F 	6-8 	240 	01/22/1984 	   	2
9 	Rajon Rondo 	G 	6-1 	171 	02/22/1986 	   	2
44 	Brian Scalabrine 	C-F 	6-9 	235 	03/18/1978 	   	7
8  	  Stephon Marbury  	 G  	 6-2  	 205  	 02/20/1977  	   Georgia Tech  	 12
Dallas Mavericks
11  	  Jose Barea  	 G  	 6-0  	 175  	 06/26/1984  	     	 2
32 	Brandon Bass 	F 	6-8 	250 	04/30/1985 	   	3
13 	Matt Carroll 	G 	6-6 	212 	08/28/1980 	   	5
25 	Erick Dampier 	C 	6-11 	265 	07/14/1975 	   	12
40 	Devean George 	F 	6-8 	235 	08/29/1977 	   	9
1 	Ryan Hollins 	C 	7-0 	230 	10/10/1984 	   	2
5 	Josh Howard 	F-G 	6-7 	210 	04/28/1980 	   	5
2 	Jason Kidd  	G 	6-4 	210 	03/23/1973 	   	14
41 	Dirk Nowitzki  	F 	7-0 	245 	06/19/1978 	   	10
33 	James Singleton 	F 	6-8 	230 	07/20/1981 	   	4
31 	Jason Terry 	G 	6-2 	180 	09/15/1977 	   	9
21 	Antoine Wright 	G-F 	6-7 	215 	02/06/1984 	 	3
New Jersey Nets
20 	Ryan Anderson 	F 	6-10 	240 	05/06/1988 	   	R
2 	Josh Boone 	C 	6-10 	237 	11/21/1984 	   	2
15 	Vince Carter 	G 	6-6 	220 	01/26/1977 	   	10
55 	Keyon Dooling 	G 	6-3 	195 	05/08/1980 	   	8
17 	Chris Douglas-Roberts 	G 	6-7 	200 	01/08/1987 	   	R
34 	Devin Harris 	G 	6-3 	185 	02/27/1983 	   	4
44 	Trenton Hassell 	F 	6-5 	233 	03/04/1979 	   	7
22 	Jarvis Hayes 	F 	6-8 	228 	08/09/1981 	   	5
11 	Brook Lopez 	C 	7-0 	260 	04/01/1988 	   	R
14 	Eduardo Najera 	F 	6-8 	235 	07/11/1976 	   	8
21 	Bobby Simmons 	F 	6-6 	230 	06/02/1980 	   	6
9 	Yi Jianlian 	F 	7-0 	238 	10/27/1987 	   	1
Houston Rockets
96  	  Ron Artest  	 F  	 6-7  	 260  	 11/13/1979  	     	 9
17 	Brent Barry 	G 	6-7 	210 	12/31/1971 	   	13
31 	Shane Battier 	F 	6-8 	220 	09/09/1978 	   	7
0 	Aaron Brooks 	G 	6-0 	161 	01/14/1985 	   	1
43 	Brian Cook 	F 	6-9 	250 	12/04/1980 	   	5
44 	Chuck Hayes 	F 	6-6 	238 	06/11/1983 	   	3
14 	Carl Landry 	F 	6-9 	248 	09/19/1983 	   	1
7 	Kyle Lowry 	G 	6-0 	205 	03/25/1986 	   	2
1 	Tracy McGrady 	G 	6-8 	223 	05/24/1979 	   	11
4 	Luis Scola 	F-C 	6-9 	245 	04/30/1980 	   	1
13 	Von Wafer 	G 	6-5 	210 	07/21/1985 	   	3
11 	Yao Ming 	C 	7-6 	310 	09/12/1980 	   	6
New York Knicks
21  	  Wilson Chandler  	 F  	 6-8  	 220  	 05/10/1987  	     	 1
5 	Joe Crawford 	G 	6-5 	210 	06/17/1986 	   	R
34 	Eddy Curry 	C 	6-11 	285 	12/05/1982 	  	7
1 	Chris Duhon 	G 	6-1 	185 	08/31/1982 	   	4
8 	Danilo Gallinari 	F 	6-10 	225 	08/08/1988 	   	R
7 	Al Harrington 	F 	6-9 	250 	02/17/1980 	   	10
0 	Larry Hughes 	F 	6-5 	185 	01/23/1979 	   	10
31 	Chris Hunter 	F-C 	6-11 	240 	07/07/1984 	   	R
20 	Jared Jeffries 	C-F 	6-11 	240 	11/25/1981 	   	6
42 	David Lee 	F-C 	6-9 	240 	04/29/1983 	   	3
32 	Cuttino Mobley 	G 	6-4 	215 	09/01/1975 	   	10
