LA Lakers
 Kobe Bryant 	82 	82 	36.1 	.467 	.351 	.856 	1.10 	4.10 	5.20 	4.9 	1.46 	.45 	2.56 	2.30 	26.8
 Pau Gasol 	81 	81 	37.0 	.567 	.500 	.781 	3.20 	6.40 	9.60 	3.5 	.64 	1.00 	1.94 	2.10 	18.9
 Andrew Bynum 	50 	50 	28.9 	.560 	.000 	.707 	2.70 	5.20 	8.00 	1.4 	.36 	1.80 	1.70 	3.10 	14.3
 Lamar Odom 	78 	32 	29.7 	.492 	.320 	.623 	2.30 	5.90 	8.20 	2.6 	.99 	1.26 	1.77 	3.00 	11.3
 Derek Fisher 	82 	82 	29.8 	.424 	.397 	.846 	.30 	2.00 	2.30 	3.2 	1.16 	.07 	.88 	2.30 	9.9
 Trevor Ariza 	82 	20 	24.4 	.460 	.319 	.710 	1.40 	2.90 	4.30 	1.8 	1.67 	.29 	1.06 	2.00 	8.9
 Jordan Farmar 	65 	0 	18.3 	.391 	.336 	.584 	.30 	1.50 	1.80 	2.4 	.88 	.15 	1.34 	1.60 	6.4
 Sasha Vujacic 	80 	0 	16.2 	.387 	.363 	.921 	.20 	1.50 	1.70 	1.4 	.96 	.09 	.44 	1.90 	5.8
 Luke Walton 	65 	34 	17.9 	.436 	.298 	.719 	.80 	1.90 	2.80 	2.7 	.49 	.15 	1.06 	1.60 	5.0
 Josh Powell 	60 	1 	11.7 	.444 	.000 	.760 	1.20 	1.80 	2.90 	.5 	.15 	.28 	.85 	1.60 	4.2
 Shannon Brown 	48 	0 	9.9 	.473 	.378 	.821 	.20 	.70 	.90 	.8 	.46 	.15 	.79 	.90 	4.2
 Didier Ilunga-Mbenga 	23 	0 	7.9 	.474 	.000 	.875 	.40 	1.00 	1.30 	.4 	.43 	1.04 	.57 	1.40 	2.7
Boston Celtics
 Paul Pierce  	 81  	 81  	 37.5  	 .457  	 .391  	 .830 	 .70 	 5.00 	 5.60 	 3.6 	 .99 	 .33 	 2.81 	 2.70 	 20.5
